,international_reputation,weak_foot,skill_moves,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,Attack_workrate,Defend_workrate,Positon_General,preferred_foot_Left,preferred_foot_Right,body_type_Akinfenwa,body_type_C. Ronaldo,body_type_Courtois,body_type_Lean,body_type_Messi,body_type_Neymar,body_type_Normal,body_type_PLAYER_BODY_TYPE_25,body_type_Shaqiri,body_type_Stocky,height_cm,weight_kg,age
1591,1,3,2,43,34,68,66,34,33,36,42,71,51,62,63,59,66,60,84,74,68,78,71,77,69,42,49,54,62,67,69,73,9,7,15,14,15,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,187,85,27
1592,1,3,3,66,26,60,66,37,66,59,41,64,67,77,78,73,67,73,57,63,78,62,40,66,68,55,59,59,64,67,68,70,7,7,15,13,11,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,178,73,26
1593,1,3,2,30,28,69,60,27,39,34,35,55,54,41,54,32,63,33,47,61,66,83,27,75,69,31,31,43,62,70,74,62,12,12,10,14,15,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,187,82,28
1594,1,3,2,58,30,70,56,29,56,48,36,54,58,46,50,35,70,32,60,33,65,91,46,60,70,49,39,42,57,70,72,70,13,13,10,8,7,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,191,89,27
1595,1,3,2,35,20,63,62,26,61,32,25,60,65,55,63,58,64,65,53,77,70,85,21,74,68,25,38,36,66,65,70,70,14,14,10,12,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,179,73,27
1596,1,2,2,26,36,72,57,24,45,29,25,50,57,57,60,54,62,51,41,74,69,82,25,66,66,52,40,34,52,69,71,68,15,14,15,12,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,85,27
1597,1,2,2,50,26,67,63,43,51,42,32,59,58,43,41,34,65,31,68,54,64,86,59,77,68,41,37,51,57,69,71,70,12,14,8,6,12,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,192,89,28
1598,1,4,2,54,34,65,67,26,46,28,34,48,54,61,51,64,70,39,37,84,92,85,29,68,64,39,31,46,46,67,70,68,8,12,9,12,12,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,192,84,28
1599,1,2,3,69,42,39,70,40,65,80,69,68,70,78,75,69,70,86,79,38,78,73,75,65,68,61,58,71,63,62,73,64,10,7,12,15,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,176,79,27
1600,1,3,2,44,30,71,54,32,40,33,35,56,43,53,49,48,61,51,40,82,50,78,36,78,69,33,39,40,66,72,71,68,9,9,11,12,8,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,187,81,27
1601,2,2,2,41,28,68,69,55,46,38,31,67,55,60,67,54,66,46,79,76,71,79,59,75,68,25,42,44,61,68,67,65,6,13,12,9,8,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,83,28
1602,1,4,2,62,33,62,59,34,58,60,44,57,62,76,78,76,65,72,51,79,88,66,38,73,68,57,57,47,64,73,68,69,9,8,11,13,9,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,179,68,27
1603,1,3,2,49,37,72,67,34,56,41,35,55,55,53,68,66,68,63,53,72,68,73,47,65,67,45,56,49,62,66,72,71,12,12,7,15,13,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,182,74,29
1604,1,3,2,52,35,72,68,38,52,55,50,66,60,33,34,34,63,32,63,65,72,89,51,62,66,37,48,55,67,67,74,69,9,9,15,15,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,197,92,27
1605,2,2,3,71,41,62,66,60,67,60,52,64,68,64,71,65,69,66,72,63,63,69,41,66,66,64,62,49,62,69,73,72,12,15,15,11,12,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,185,77,27
1606,1,3,2,65,57,69,70,57,66,61,58,69,62,74,70,62,70,55,42,75,80,74,58,70,70,52,64,60,72,68,69,68,16,13,7,11,13,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,185,75,29
1607,1,2,3,77,50,55,70,35,67,70,60,72,70,79,78,60,66,57,65,77,86,67,71,62,63,67,63,52,60,60,63,66,10,8,10,9,9,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,184,78,26
1608,1,3,2,36,28,70,62,26,46,20,22,55,57,57,55,61,63,36,40,68,69,80,29,76,67,42,40,19,63,68,70,66,13,15,9,9,9,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,196,90,27
1609,1,3,3,70,58,58,69,40,72,56,37,54,70,70,71,73,70,69,67,71,82,63,64,64,68,68,52,49,69,65,66,64,10,10,15,11,13,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,178,70,27
1610,1,2,3,66,41,58,62,52,65,55,53,59,65,76,76,74,66,66,61,69,81,77,51,77,67,59,52,31,60,68,70,69,15,16,12,10,15,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,180,75,27
1611,1,3,3,69,53,64,69,31,69,58,44,66,71,74,70,71,66,68,63,71,87,84,49,72,61,58,55,45,62,66,68,66,8,11,14,15,12,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,89,27
1612,1,2,2,27,21,79,41,29,31,28,49,64,55,31,29,31,66,29,66,29,70,93,41,68,69,25,38,35,55,68,75,64,14,8,10,8,12,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,195,86,29
1613,1,2,2,43,34,70,60,42,51,33,38,56,55,59,62,55,63,66,60,76,77,73,41,75,64,35,43,42,62,71,72,69,9,11,11,10,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,177,73,27
1614,1,2,2,63,35,68,63,27,54,44,71,64,61,67,76,67,69,63,38,80,81,75,35,70,67,41,35,38,59,72,71,67,15,13,13,7,10,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,190,81,27
1615,1,2,2,34,34,77,60,46,49,32,32,59,50,29,49,58,62,60,56,91,74,80,40,69,65,33,37,42,53,70,74,63,7,13,10,9,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,181,80,29
1616,1,3,2,45,39,75,69,37,57,36,39,62,64,59,62,34,64,56,50,64,68,72,45,66,68,35,36,38,52,65,71,70,16,11,9,11,12,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,190,84,28
1617,1,2,2,33,30,73,57,29,46,30,26,51,60,37,42,36,68,54,41,83,82,79,25,79,66,28,35,35,61,70,65,64,9,15,13,6,15,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,185,81,28
1618,1,3,3,68,49,66,66,44,70,70,65,55,68,83,85,58,64,55,72,70,80,82,63,72,59,66,45,37,65,62,70,70,13,8,12,12,10,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,186,84,26
1619,1,2,2,63,30,62,55,29,67,38,40,58,64,74,75,72,63,66,42,82,81,73,35,73,68,49,48,45,56,73,72,73,13,9,11,12,7,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,180,74,27
1620,1,3,3,72,50,52,64,56,64,67,30,57,67,81,78,80,67,64,70,76,82,70,64,54,66,64,60,31,65,64,66,68,13,12,9,5,9,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,178,73,27
1621,1,2,2,68,47,61,68,49,57,56,58,63,64,75,75,73,72,66,57,57,71,71,54,62,68,61,66,55,67,67,72,69,9,10,6,6,7,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,180,71,27
1622,1,3,3,73,39,53,63,41,71,48,44,57,69,83,85,79,64,67,57,68,84,71,43,77,63,57,51,50,58,59,67,65,7,13,9,8,8,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,179,72,27
1623,1,3,2,38,29,65,54,33,45,39,30,52,55,63,67,60,63,53,49,73,73,82,31,76,75,34,38,37,57,70,63,68,12,11,12,7,11,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,186,82,29
1624,1,3,2,51,45,69,64,51,47,48,31,59,62,60,62,62,67,55,65,77,66,75,51,76,70,40,52,67,70,67,70,67,16,7,16,14,8,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,185,78,33
1625,2,3,2,73,55,66,71,55,66,74,72,72,71,57,60,51,62,60,75,64,69,73,71,70,69,66,70,68,70,70,72,70,4,5,6,5,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,183,80,33
1626,2,3,2,49,47,79,51,23,29,39,33,49,58,28,30,34,66,31,44,72,33,73,30,74,70,45,52,49,66,73,70,69,6,11,12,10,13,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,191,89,39
1627,2,3,2,19,25,73,57,23,17,23,11,66,59,30,30,44,67,50,62,66,31,76,21,73,66,35,43,44,70,75,70,71,8,6,6,13,15,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,188,76,35
1628,2,3,2,58,28,65,56,29,45,37,35,56,53,34,37,52,64,71,68,80,34,86,36,66,69,38,44,38,73,74,70,68,10,13,15,12,15,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,181,85,39
1629,1,2,3,72,61,60,70,56,70,73,72,71,73,76,78,78,71,78,70,70,78,59,68,68,61,68,67,52,61,59,70,69,9,15,11,9,9,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,173,70,28
1630,2,3,2,61,51,71,66,46,55,65,72,63,56,56,53,54,70,54,77,69,54,72,68,80,64,54,53,58,59,64,75,72,12,8,13,7,7,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,188,85,35
1631,2,3,2,57,22,71,66,40,47,49,43,60,60,49,52,61,60,58,67,77,67,76,24,80,67,53,48,30,66,68,71,67,16,8,13,10,13,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,182,75,33
1632,2,3,2,34,35,72,61,33,52,37,23,62,60,36,34,34,62,58,54,78,33,75,39,72,72,30,49,41,72,68,71,67,6,8,8,5,10,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,185,77,36
1633,1,2,2,31,32,74,60,23,46,32,38,64,60,29,30,28,68,28,42,29,50,74,25,86,72,21,31,36,68,74,72,62,6,13,8,11,8,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,192,82,37
1634,1,3,3,76,53,53,71,51,68,69,56,64,71,65,67,69,69,72,72,65,60,64,66,77,73,59,59,58,67,76,73,66,10,12,16,12,14,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,174,72,35
1635,3,4,2,32,37,66,62,34,57,34,23,70,60,42,45,51,66,59,64,60,54,80,40,78,74,28,53,45,66,71,66,70,7,10,16,7,10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,183,77,34
1636,2,2,2,57,27,69,56,53,53,46,51,58,55,69,74,46,63,51,40,68,60,90,30,75,68,39,48,53,62,66,66,67,13,14,7,11,13,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,188,78,32
1637,1,2,2,66,57,70,64,61,61,60,52,62,64,46,46,53,67,63,69,80,58,75,62,70,69,64,45,61,70,67,70,67,13,12,11,16,8,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,183,80,34
1638,1,3,2,53,34,68,74,36,59,34,31,71,64,48,52,56,69,64,49,58,73,67,40,69,67,28,59,49,75,74,70,70,12,7,7,6,10,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,180,72,35
1639,1,3,2,69,45,65,66,54,62,66,40,61,70,71,76,73,67,73,69,82,79,71,58,78,65,60,59,49,66,68,67,69,8,10,10,13,13,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,177,77,33
1640,1,2,2,48,43,68,59,43,49,52,51,62,53,30,30,29,66,59,70,78,33,84,53,78,76,41,60,52,74,76,63,58,12,15,10,13,7,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,191,82,36
1641,1,4,2,68,42,64,69,28,58,37,40,60,67,68,74,53,68,57,59,61,66,72,37,70,70,42,59,46,60,65,70,74,11,7,7,11,15,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,185,70,32
1642,1,3,3,69,41,62,67,40,66,70,71,63,68,72,73,72,65,63,70,82,79,64,67,68,67,63,54,63,66,68,68,70,12,16,15,8,8,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,177,75,31
1643,1,3,2,65,30,55,64,40,59,59,24,58,60,72,71,75,66,83,63,68,80,77,48,76,67,58,31,36,71,68,73,74,15,14,12,8,8,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,174,74,33
1644,1,2,2,58,33,60,65,45,58,62,53,49,60,71,70,72,70,67,63,73,76,74,51,65,74,56,52,46,59,73,69,70,14,14,8,11,8,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,180,73,33
1645,1,3,2,54,36,68,63,43,55,48,58,62,62,63,68,60,67,63,69,68,83,84,39,71,67,48,56,49,69,71,67,68,8,9,16,14,13,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,81,30
1646,1,3,3,76,26,64,73,62,67,74,76,75,69,67,70,67,71,73,81,75,74,74,71,69,70,65,70,64,72,69,69,67,7,7,16,6,6,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,176,81,30
1647,1,3,2,52,36,75,67,41,39,31,42,65,63,55,52,66,60,60,50,90,71,80,47,64,66,40,55,61,60,68,69,65,7,7,7,12,7,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,187,76,31
1648,1,3,2,71,37,62,67,31,59,31,41,65,63,67,68,68,66,73,67,69,69,64,43,71,72,43,60,44,75,74,70,69,9,14,9,15,14,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,178,72,31
1649,1,3,2,40,21,68,42,35,26,25,21,41,44,50,53,60,63,67,55,90,66,79,27,82,70,29,34,16,57,73,70,68,14,8,7,12,10,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,180,77,31
1650,1,3,2,42,13,70,49,23,40,31,27,54,46,35,50,59,66,59,27,74,74,81,36,75,66,37,34,32,58,70,72,69,7,6,7,7,8,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,185,71,31
1651,2,3,3,64,30,61,68,35,67,69,34,67,71,71,66,70,65,81,46,76,73,62,47,66,66,60,64,44,67,71,71,72,15,16,14,16,6,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,175,75,30
1652,1,3,2,39,39,65,63,39,53,60,60,69,52,66,69,67,57,66,53,78,71,78,51,72,70,49,47,35,63,73,71,68,13,15,9,16,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,176,71,30
1653,2,3,3,66,48,74,72,59,64,65,40,68,69,46,52,54,68,54,65,86,75,75,60,68,73,44,60,33,78,76,74,72,12,7,8,13,10,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,189,78,32
1654,2,3,2,20,21,65,62,18,59,28,34,61,60,60,62,70,63,47,43,70,69,80,53,75,65,39,56,43,76,72,73,68,8,8,13,14,14,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,75,32
1655,1,3,2,62,28,65,48,37,40,48,12,30,63,75,80,75,70,60,57,66,85,59,14,69,71,28,37,38,61,68,69,68,5,13,13,8,14,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,180,73,32
1656,1,2,2,78,30,52,65,31,62,67,70,60,63,79,86,88,66,79,70,80,85,48,64,77,66,59,65,34,55,61,64,65,12,11,12,6,12,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,176,65,32
1657,1,3,3,67,66,56,68,65,71,74,59,57,72,77,79,82,74,65,70,53,79,70,73,74,65,64,70,51,72,66,59,58,14,13,12,15,13,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,185,75,32
1658,1,3,3,75,48,56,72,44,72,73,74,65,73,73,73,75,75,76,67,69,31,60,59,69,73,66,60,58,70,70,74,72,15,13,13,6,9,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,173,65,32
1659,2,2,2,63,56,67,64,54,62,70,36,65,65,73,71,60,57,67,76,73,75,74,55,77,66,56,56,48,64,70,75,76,15,12,11,12,7,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,181,79,31
1660,1,3,2,55,46,70,63,51,56,60,59,58,62,67,61,60,68,60,60,60,70,70,61,69,68,45,59,49,70,70,72,68,6,7,16,13,6,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,182,80,32
1661,1,3,3,73,52,67,66,56,73,75,48,66,72,81,77,63,67,70,58,66,80,76,58,62,67,63,68,51,65,62,67,63,8,16,9,12,12,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,185,76,30
1662,1,3,2,66,45,62,70,44,58,57,55,65,64,60,54,68,69,65,73,68,83,76,62,72,70,56,59,64,65,73,73,69,14,7,11,6,12,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,183,80,32
1663,1,3,3,64,70,53,68,70,69,73,74,65,70,80,77,75,71,77,72,72,84,70,71,71,69,68,70,68,67,67,65,66,10,11,7,16,9,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,174,70,29
1664,1,2,3,74,54,61,69,53,67,61,53,69,67,78,77,75,69,73,66,54,78,62,55,55,66,62,63,58,72,56,67,67,8,16,10,16,6,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,175,68,29
1665,1,3,2,34,36,72,52,24,26,53,46,44,49,41,57,58,61,33,25,71,75,86,21,70,64,28,36,54,62,67,75,68,14,8,12,9,15,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,187,82,30
1666,1,2,2,43,22,74,52,24,39,39,37,50,52,51,58,79,66,54,54,90,67,78,32,72,64,24,23,30,60,66,73,71,10,9,9,14,7,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,184,78,32
1667,1,3,3,69,55,69,64,45,68,51,53,64,71,71,77,67,66,62,71,68,79,69,60,76,68,72,59,68,61,64,67,70,14,8,14,8,7,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,178,75,33
1668,1,3,2,67,27,68,64,25,64,30,55,69,64,67,71,65,62,56,70,92,67,91,49,72,68,28,60,25,69,58,69,64,9,12,9,10,12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,184,79,28
1669,1,3,2,39,26,71,55,40,33,47,46,53,54,34,62,68,56,54,63,88,80,91,31,73,67,35,47,31,66,65,68,70,15,12,9,11,8,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,186,77,30
1670,1,2,2,48,39,70,62,50,47,38,42,55,52,59,52,43,64,51,64,82,63,79,48,65,67,38,54,50,53,73,69,73,15,14,7,10,7,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,185,78,29
1671,1,3,3,71,42,57,69,39,65,70,58,66,66,70,72,72,66,66,67,74,91,67,63,71,66,65,59,44,69,63,65,66,10,13,6,12,7,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,178,72,30
1672,1,4,3,74,62,58,75,70,70,80,72,73,69,64,64,64,69,78,80,64,86,68,76,65,66,71,74,73,74,67,67,67,14,9,15,13,12,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,178,73,32
1673,1,3,2,34,26,71,70,14,47,25,44,64,56,54,50,52,66,49,57,78,65,80,30,76,69,27,41,44,58,66,67,65,11,12,14,9,8,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,190,84,29
1674,2,3,3,72,61,72,71,60,68,76,69,69,71,70,69,72,72,63,70,81,79,72,66,59,68,66,67,59,68,63,66,61,14,7,9,10,7,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,183,78,31
1675,1,2,3,71,37,59,67,41,74,55,50,65,74,83,85,78,64,78,45,85,83,67,58,70,67,67,68,55,66,58,67,62,16,12,8,6,13,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,178,74,28
1676,2,2,3,74,36,61,73,34,68,68,36,72,73,62,64,69,68,71,64,78,57,64,49,60,70,69,65,41,66,71,71,73,10,13,16,15,16,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,176,70,31
1677,1,3,3,66,56,55,70,45,65,59,51,59,67,75,68,77,65,73,67,82,92,73,63,77,67,65,61,56,66,64,66,68,16,15,16,7,10,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,174,74,28
1678,1,2,2,66,26,62,68,56,58,66,52,74,67,64,64,65,65,65,60,69,73,68,58,71,73,55,58,68,75,75,70,69,8,14,15,14,7,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,78,31
1679,2,4,3,78,42,62,75,44,68,68,45,74,74,67,64,68,69,75,72,73,53,63,54,76,70,50,59,44,74,74,70,70,11,10,8,8,12,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,179,72,29
1680,1,3,2,65,34,65,65,53,61,69,64,63,64,70,73,62,70,61,71,76,70,82,55,74,67,55,57,69,67,71,73,72,16,14,7,11,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,179,81,33
1681,1,3,3,73,63,50,69,60,75,76,73,54,74,83,84,80,67,79,74,82,68,63,71,52,66,72,67,70,63,64,68,66,11,8,9,8,15,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,173,73,27
1682,1,3,3,72,51,64,68,51,61,51,62,64,66,67,65,63,68,65,73,72,77,73,65,63,70,55,55,47,62,69,71,69,7,7,7,12,9,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,180,79,31
1683,1,2,3,63,29,66,65,51,64,54,52,59,66,70,72,74,70,62,59,74,88,68,49,70,69,61,41,51,71,67,68,69,12,6,5,9,10,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,183,73,28
1684,1,3,3,64,56,73,69,53,66,59,52,65,70,72,72,71,69,73,65,88,81,69,54,70,63,68,65,43,68,64,70,67,13,9,7,8,12,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,178,70,29
1685,1,2,2,67,41,59,62,30,59,41,37,58,58,78,85,75,67,69,70,88,85,76,61,73,68,35,41,49,63,66,65,66,12,8,13,10,11,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,183,75,30
1686,1,4,2,59,35,70,68,25,64,27,64,62,64,70,65,68,63,63,72,77,75,78,38,74,63,59,59,38,58,65,68,73,13,7,16,9,12,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,182,77,32
1687,2,3,3,71,29,66,67,39,70,63,40,66,70,64,64,64,69,69,69,66,58,65,58,73,69,55,55,52,70,71,73,72,11,13,9,15,11,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,177,75,29
1688,1,3,3,68,59,61,62,57,68,72,65,62,67,75,71,69,66,71,72,82,77,75,67,92,71,64,64,59,66,68,69,66,9,11,9,16,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,178,77,33
1689,1,2,3,48,45,58,68,37,65,45,54,68,67,73,69,82,70,85,63,83,84,72,53,80,70,65,67,57,65,68,68,63,12,15,9,16,10,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,174,69,29
1690,1,2,3,68,52,64,67,47,69,65,56,64,69,70,70,69,70,76,61,75,69,71,53,78,69,64,66,54,68,67,69,69,6,9,9,9,14,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,173,68,27
1691,2,3,2,64,21,67,64,45,53,60,61,61,58,59,65,62,60,52,73,71,69,84,59,80,67,36,42,38,72,67,67,69,8,10,8,11,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,189,87,28
1692,1,3,3,76,42,63,70,48,77,63,45,64,72,78,82,76,58,67,60,69,80,73,42,73,64,59,73,56,64,59,69,67,14,12,7,6,8,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,177,78,29
1693,1,2,2,41,12,69,56,13,51,14,19,56,55,66,51,73,65,69,24,92,63,74,29,72,65,19,27,30,67,73,72,71,7,13,13,11,15,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,185,83,29
1694,2,3,3,75,64,54,68,61,67,68,59,64,67,81,80,79,65,73,69,76,78,54,64,83,62,67,65,60,59,55,72,66,8,6,10,14,16,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,175,65,29
1695,1,3,2,28,37,73,58,24,36,31,30,58,41,48,55,63,68,52,53,76,61,80,33,69,65,28,36,28,61,71,72,69,16,12,12,15,16,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,188,85,28
1696,1,3,2,18,14,68,52,26,45,12,25,47,55,42,47,55,69,51,40,81,45,86,29,67,74,21,28,18,70,65,70,68,8,12,15,12,13,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,188,79,34
1697,2,2,3,73,45,66,69,65,65,79,72,70,70,75,77,73,67,66,78,68,71,67,67,67,66,61,53,55,68,70,64,67,8,8,15,16,7,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,179,72,28
1698,1,3,3,67,47,61,63,42,70,74,51,62,72,70,78,70,67,72,69,74,70,71,66,71,69,65,50,50,72,68,70,71,15,9,5,9,15,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,180,76,28
1699,1,2,3,77,55,28,67,54,71,54,52,68,68,74,67,84,67,90,71,74,85,35,58,68,71,63,58,53,73,65,67,67,7,16,14,12,14,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,168,63,29
1700,2,3,2,77,54,46,64,45,59,59,56,61,60,80,70,79,70,73,53,86,73,60,58,77,67,61,63,45,65,70,71,67,16,15,6,10,15,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,180,76,32
1701,1,3,3,64,56,62,67,53,66,52,60,63,66,77,82,81,70,72,64,76,82,71,61,71,63,61,63,60,66,70,66,66,10,16,7,13,14,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,183,76,31
1702,1,3,2,23,20,71,58,23,40,33,34,50,60,50,53,57,58,63,57,83,82,73,30,74,68,15,23,44,62,71,70,67,14,8,8,8,6,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,183,73,30
1703,1,3,3,70,28,59,56,24,66,41,36,53,67,76,75,68,71,69,24,64,71,66,26,72,65,55,52,35,65,68,72,72,14,15,7,11,12,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,181,76,30
1704,1,3,2,68,38,68,69,39,48,33,22,59,61,61,72,57,66,55,39,82,68,77,48,80,58,34,25,20,51,70,67,66,9,10,14,10,9,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,75,27
1705,1,3,2,14,14,68,53,11,44,21,20,54,51,61,70,60,61,63,49,76,64,68,38,67,68,20,23,42,67,74,74,71,11,8,7,9,12,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,186,75,27
1706,1,4,3,65,40,61,68,44,67,55,30,70,68,70,72,64,62,66,57,72,76,74,47,70,67,55,61,38,68,72,71,70,10,14,14,10,9,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,183,77,27
1707,1,3,2,67,32,65,66,44,65,53,47,63,68,83,87,58,64,51,54,64,70,74,35,56,65,54,48,52,52,66,67,65,14,14,7,14,11,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,188,80,28
1708,1,3,2,60,34,69,65,40,35,51,42,66,58,65,66,58,69,56,54,69,69,79,48,66,71,60,55,45,65,68,68,65,10,10,15,8,15,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,187,78,29
1709,1,3,2,30,21,73,66,19,32,25,26,52,48,52,53,38,63,41,52,48,60,93,27,71,65,17,21,32,69,69,71,67,13,10,12,10,15,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,193,93,32
