,short_name,Position,overall,value_eur
12433,L. Gordon,CB,63,525000
12436,T. Sibbick,RB,63,525000
12437,S. Hart,LB,63,500000
12438,J. Kabongo,CB,63,525000
12439,M. Farfan,LB,63,525000
12440,Lee Sang Ki,RB,63,500000
12441,S. Erimuya,CB,63,525000
12442,Y. Tatsuta,CB,63,525000
12444,M. Rodrigues,CB,63,525000
12450,U. Abreliano,RB,63,525000
12453,S. Mbakata,RB,63,525000
12456,C. Kobald,CB,63,525000
12459,H. Mashiane,LB,63,525000
12463,Everson,CB,63,525000
12467,C. Shaughnessy,CB,63,500000
12468,O. Bernal,RB,63,475000
12472,W. Nightingale,CB,63,500000
12473,B. Sørmo,RB,63,475000
12477,J. Strauß,RWB,63,475000
12478,S. Mmaee,CB,63,500000
12481,B. Warland,CB,63,500000
12482,E. Binaku,LWB,63,475000
12483,T. Thomas,CB,63,500000
12484,M. Nakkim,CB,63,500000
12485,A. Moreno,RB,63,475000
12486,R. Sáez,LB,63,475000
12489,C. Pérez,CB,63,500000
12491,T. Blomeyer,CB,63,500000
12492,A. Skovgaard,CB,63,500000
12496,M. Godinho,RB,63,475000
12497,Diego Parras,RB,63,475000
12501,Jeong Tae Wook,CB,63,500000
12503,O. Steurer,CB,63,500000
12505,G. Smith,CB,63,500000
12506,F. Russo,CB,63,500000
12507,C. Okoroji,LB,63,475000
12511,I. Gaponov,CB,63,500000
12515,João Silva,CB,63,500000
12518,A. Ben Mohamed,LB,63,450000
12522,A. McGowan,RWB,63,450000
12523,L. Grimshaw,RB,63,450000
12524,I. Łasicki,CB,63,475000
12525,D. Carrero,CB,63,475000
12530,D. O'Shaughnessy,CB,63,475000
12537,J. Aspropotamitis,CB,63,475000
12538,Montoro,RB,63,450000
12542,D. Baumgartner,CB,63,475000
12544,R. Hatsuse,LB,63,475000
12545,D. Cleary,CB,63,475000
12546,J. Moe,LB,63,450000
12553,Liu Yiming,CB,63,475000
12554,J. Marulanda,RB,63,450000
12555,T. Hilliard-Arce,CB,63,475000
12557,Endika,LB,63,450000
12561,D. Pines,CB,63,475000
12566,Dani Fernández,RB,63,450000
12569,G. Gallifuoco,CB,63,450000
12571,M. Al Olayan,RB,63,450000
12574,J. Blåbjerg,CB,63,450000
12575,R. Haynes,LB,63,450000
12579,C. Burgess,CB,63,450000
12580,A. Sharahili,CB,63,450000
12583,D. Granli,CB,63,450000
12586,D. Slamar,CB,63,450000
12587,K. Burger,LB,63,450000
12588,J. Brinch,RB,63,450000
12591,A. Iacovitti,CB,63,450000
12593,J. Augustinsson,LB,63,450000
12597,M. Marcjanik,CB,63,450000
12598,I. Vujica,LB,63,450000
12602,F. Olivera,RB,63,450000
12607,H. Löfkvist,CB,63,450000
12608,Li Shuai,LB,63,450000
12612,A. Kadlec,RB,63,450000
12617,G. Williams,CB,63,425000
12618,J. Hammar,CB,63,450000
12619,B. Heneghan,CB,63,450000
12621,K. Ntlhe,LB,63,425000
12622,F. Helstrup,CB,63,425000
12628,L. Hendrie,RWB,63,425000
12634,J. Bunney,LB,63,425000
12635,A. Madu,CB,63,450000
12638,H. Lennon,CB,63,450000
12642,J. Horsfield,RB,63,425000
12644,A. Torralvo,LB,63,425000
12645,Kim Dae Jung,CB,63,425000
12653,D. Payne,RB,63,425000
12659,N. Antonov,LB,63,425000
12661,C. Maghoma,CB,63,450000
12662,Olaortua,CB,63,450000
12663,R. Laryea,RB,63,425000
12665,K. Yoshino,CB,63,450000
12668,D. Stec,RB,63,425000
12671,T. Rocha,LB,63,425000
12672,O. Alseth,RB,63,425000
12674,A. Odabas,CB,63,450000
12677,A. Mayorga,LB,63,425000
12678,S. Furtado,RB,63,425000
12679,M. Grösch,CB,63,450000
12681,J. Scherzer,LB,63,425000
12682,H. Rashidi,LWB,63,425000
12686,M. Haas,LWB,63,425000
12688,S. Bjørshol,RB,63,425000
12692,C. Martínez,RB,63,425000
12696,I. Touray,LWB,63,425000
12699,G. Arokoyo,CB,63,425000
12701,G. Leigh,LB,63,425000
12706,S. Tanser,LB,63,425000
12707,M. Qasem,LB,63,425000
12711,R. Lopes Cabral,RB,63,425000
12716,M. Jadama,CB,63,425000
12717,Jeon Min Gwang,CB,63,425000
12720,Han Pengfei,CB,63,425000
12723,D. Petrovic,CB,63,425000
12728,Y. Kimoto,CB,63,425000
12731,M. Fritz,CB,63,425000
12733,A. Kovačević,CB,63,425000
12738,C. Aasbak,LB,63,400000
12739,M. Haakenstad,RB,63,400000
12748,F. Møller,LB,63,400000
12749,A. Al Fahad,CB,63,425000
12750,S. Galloway,LB,63,400000
12751,S. Roux,RB,63,400000
12755,A. Gogić,CB,63,425000
12757,M. Mosquera,CB,63,400000
12758,J. Clarke,RWB,63,400000
12759,B. Halliday,RB,63,400000
12760,I. van Weert,CB,63,425000
12762,A. Al Shammari,CB,63,425000
12763,A. Al Dohaim,CB,63,425000
12764,T. Davies,CB,63,400000
12765,Agus Medina,RWB,63,400000
12766,J. Santander,LB,63,400000
12770,Y. Ito,RB,63,400000
12773,C. Karayel,RB,63,400000
12774,M. Ambrose,LB,63,400000
12782,P. Mako,LB,63,400000
12783,F. Lapis,LB,63,400000
12785,R. Lamie,LWB,63,400000
12786,S. Bauer,CB,63,400000
12787,A. Gabrielli,RB,63,400000
12789,A. Jusino,CB,63,0
12790,A. Pițian,CB,63,425000
12791,J. Bay,LB,63,400000
12793,N. Canavan,CB,63,375000
12794,L. Sætra,CB,63,375000
12796,T. Kainz,RB,63,400000
12797,T. Schilk,CB,63,375000
12798,C. Raglan,CB,63,400000
12802,A. Berzel,CB,63,375000
12809,M. Schultz,CB,63,400000
12811,Lee Ju Yong,LB,63,400000
12813,A. Al Habib,CB,63,400000
12814,D. Franco,CB,63,375000
12817,Park Tae Hong,CB,63,375000
12818,S. Monaco,CB,63,400000
12819,S. Takahashi,CB,63,375000
12821,C. Maloney,RB,63,400000
12823,T. Takagi,LB,63,400000
12824,E. Katayama,CB,63,375000
12825,F. Báez,CB,63,375000
12826,M. Dobrescu,LB,63,400000
12827,H. Vera,CB,63,375000
12829,K. Watson,CB,63,350000
12830,C. Morris,CB,63,350000
12831,L. Waterfall,CB,63,350000
12832,A. White,LB,63,375000
12833,K. Conrad,CB,63,350000
12834,A. Eastham,CB,63,350000
12839,C. Piergianni,CB,63,375000
12850,B. Traoré,LB,63,375000
12854,M. Heinloth,RB,63,375000
12856,H. Al Mansour,LB,63,375000
12857,R. Mukiibi,RB,63,375000
12858,Gwon Wan Gyu,CB,63,375000
12860,J. McNerney,CB,63,350000
12861,N. Alho,RB,63,375000
12864,M. Qvist,CB,63,375000
12868,S. Suganuma,CB,63,350000
12869,L. Schlüter,LB,63,375000
12870,L. Osaki,CB,63,375000
12873,H. Barišić,CB,63,350000
12886,T. Kortegaard,LB,63,130000
12887,M. Hamoud,CB,63,140000
12889,P. Quasten,LB,63,130000
12893,L. Fontaine,CB,63,170000
12894,S. Anderson,CB,63,170000
12897,D. Charles,CB,63,270000
12898,A. Sheehan,CB,63,240000
12899,R. Sutton,CB,63,170000
12901,D. Jones,LB,63,230000
12902,I. Djuric,CB,63,300000
12904,N. Maya,LB,63,130000
12908,A. Randrup,RB,63,290000
12911,J. Wilson,CB,63,300000
12916,M. Palionis,CB,63,240000
12917,Y. Opazo,RB,63,130000
12923,G. Sawyer,LB,63,170000
12927,D. Djulbic,CB,63,70000
12929,Rong Hao,LB,63,230000
12932,Chen Lei,RB,63,170000
12939,T. Beltran,RB,63,270000
12942,M. Gomes,RWB,63,290000
12950,M. Gardawski,LB,63,325000
12951,A. Sauthier,RB,63,325000
12953,L. O'Neill,RB,63,325000
12954,D. Massey,LB,63,270000
12955,F. Affolter,CB,63,325000
12956,A. Falatah,LB,63,100000
12959,Zhang Chi,RB,63,270000
12962,L. Legge,CB,63,140000
12963,G. Ingrosso,CB,63,300000
12968,G. Francomb,RB,63,325000
12972,A. Höller,RB,63,290000
12974,F. Burmeister,CB,63,300000
12977,K. Mellor,RB,63,325000
12978,Lee Jae Myung,LB,63,325000
12980,G. Gigliotti,CB,63,300000
12983,Kim Dong Woo,CB,63,270000
12984,Li Jianbin,CB,63,300000
12986,D. Bowles,CB,63,325000
12991,A. Morgan,LB,63,325000
12994,F. Brügmann,RB,63,325000
13003,H. Sulaimani,LB,63,0
13005,S. Al Qumayzi,RB,63,325000
13014,N. Al Subhi,CB,63,300000
13015,M. Rigione,CB,63,325000
13016,S. Amro,LB,63,300000
13022,M. Velásquez,CB,63,270000
13023,I. Quílez,RB,63,300000
13024,K. Mensah,RB,63,325000
13025,O. Lund,CB,63,325000
13026,K. Pallesen,RB,63,300000
13031,D. Björnquist,RWB,63,290000
13032,S. Mensiro,CB,63,300000
13034,Zhou Yun,RB,63,325000
13035,Yang Xiaotian,LB,63,300000
13037,Jin Taiyan,LB,63,300000
13038,W. Torres,CB,63,110000
13039,E. Marxen,CB,63,325000
13041,Li Yunqiu,RB,63,325000
13042,Tang Jiashu,CB,63,325000
13043,Wang Jie,CB,63,300000
13045,A. Kanno,CB,63,300000
13047,U. Korun,CB,63,240000
13049,Luis Paezinho,CB,63,110000
13054,K. Al Barakah,LB,63,325000
13057,K. Oiwa,CB,63,300000
13059,D. Niwa,CB,63,170000
13061,M. Fujita,RB,63,170000
13062,S. Morishita,CB,63,170000
13064,T. Kanai,LB,63,300000
13065,K. Yoshimoto,CB,63,270000
13070,B. Al Mutairi,LWB,63,300000
13071,A. Granlund,LWB,63,300000
13073,L. Cardoza,CB,63,140000
13076,G. Matei,RB,63,300000
13078,R. Minor,CB,63,270000
13080,M. Gebers,CB,63,170000
13082,T. Broadbent,CB,63,325000
13087,R. Frantsen,RB,63,325000
13091,Y. Hashiuchi,CB,63,270000
13094,N. Urata,CB,63,300000
13095,M. Leca,CB,63,325000
13096,M. Mihalache,CB,63,140000
13099,R. Patriche,CB,63,170000
13101,P. Koronkiewicz,RB,63,325000
13103,B. Raj,RB,63,0
13104,K. Hoever,RB,62,625000
13106,R. Quirynen,RB,62,625000
13107,A. Zagre,LB,62,625000
13118,M. Tshibuabua,CB,62,550000
13119,A. Rouault,CB,62,575000
13120,J. Lindsey,LB,62,600000
13122,K. Moreno,CB,62,575000
13136,T. Vlček,CB,62,575000
13144,S. Sessegnon,RB,62,600000
13146,L. Ranieri,CB,62,625000
13159,P. Pfeiffer,CB,62,600000
13169,V. Bondar,CB,62,625000
13171,I. Jakobs,LB,62,600000
13178,M. Gabbia,CB,62,600000
13182,H. Marcelin,CB,62,600000
13184,A. Buongiorno,LB,62,625000
13189,M. Ross,CB,62,575000
13192,A. Keita,CB,62,600000
13200,M. Doucouré,CB,62,625000
13202,F. Mayer,CB,62,625000
13206,J. Vásquez,CB,62,625000
13209,A. Çelebi,CB,62,625000
13213,Jorge Mier,RB,62,625000
13214,C. Mamengi,CB,62,575000
13215,Meseguer,LB,62,600000
13217,D. Ciobotariu,CB,62,625000
13222,V. Ozornwafor,CB,62,625000
13227,P. Kalambayi,CB,62,525000
13229,M. Sørensen,CB,62,550000
13231,S. Sidler,LB,62,525000
13232,C. Zesiger,CB,62,550000
13242,F. Valietti,RB,62,525000
13244,J. Sobociński,CB,62,550000
13248,S. Ruiz,CB,62,500000
13250,T. Clarke,LB,62,500000
13252,S. Seddon,LWB,62,500000
13253,R. Ziegele,CB,62,500000
13255,L. James-Wildin,RB,62,500000
13258,I. De Santis,CB,62,500000
13259,R. Hernández,RB,62,500000
13266,Y. Sugawara,RB,62,475000
13269,Alberto Espeso,LB,62,500000
13270,M. López,LB,62,475000
13275,A. Rațiu,RB,62,500000
13276,A. Mohamed,RB,62,500000
13279,C. Humphreys-Grant,CB,62,475000
13280,M. Egbo,RB,62,475000
13281,F. Sierralta,RB,62,475000
13282,G. Edmundson,CB,62,475000
13283,B. Haunstrup,LB,62,475000
13286,M. Al Mufarrij,CB,62,475000
13287,D. Leahy,LB,62,475000
13288,L. Germoni,LB,62,475000
13289,M. Mangraviti,CB,62,475000
13293,F. Baak,CB,62,475000
13296,M. Olosunde,RB,62,475000
13298,R. Schlegel,CB,62,475000
13303,J. Vollert,CB,62,475000
13304,A. Khammas,LB,62,475000
13308,B. Williams,LB,62,475000
13310,N. Díaz,CB,62,475000
13316,T. Isherwood,CB,62,475000
13317,M. Gonçalves,LB,62,425000
13321,Pablo,LB,62,475000
13323,J. Carls,LB,62,475000
13332,S. Polat,RB,62,450000
13333,R. Renteria,CB,62,450000
13335,A. Lajami,CB,62,450000
13342,L. Sernicola,LB,62,450000
13343,K. Riis,CB,62,450000
13353,N. Arena,CB,62,450000
13355,J. Díaz,LB,62,450000
13360,Ricardo Mangas,LB,62,450000
13362,A. Semprini,RB,62,450000
13363,A. Al Amri,CB,62,450000
13364,M. Okazaki,CB,62,450000
13369,W. Omsberg,CB,62,450000
13373,L. Gottwalt,CB,62,450000
13376,A. Abqar,CB,62,450000
13377,Óscar Gil,RB,62,450000
13378,B. Kouyaté,CB,62,450000
13381,M. Svoboda,CB,62,450000
13382,A. Hagelskjær,CB,62,450000
13385,Y. Diori,RB,62,450000
13386,Rodrigo Freitas,CB,62,450000
13395,I. Cissé,CB,62,425000
13401,Z. Jules,CB,62,425000
13402,E. Ntim,RB,62,425000
13408,P. Asmah,LB,62,425000
13411,D. Casey,CB,62,425000
13412,A. Brorsson,CB,62,425000
13416,J. Hernández,LB,62,425000
13423,C. Weberg,CB,62,425000
13428,Edgar,CB,62,425000
13431,M. Vihmann,CB,62,425000
13432,C. Costin,RB,62,425000
13435,W. Britto,RB,62,425000
13436,Breno,LB,62,400000
13441,J. Turnbull,CB,62,400000
13444,J. Bartosz,RB,62,400000
13447,C. Lindquist,RB,62,400000
13451,L. Zanon,LB,62,400000
13454,C. Johnson,CB,62,400000
13461,L. Woolfenden,CB,62,400000
13467,Sergio Gónzalez,CB,62,400000
13469,T. Watanabe,CB,62,400000
13471,Anderson,RB,62,400000
13472,S. Juma,CB,62,400000
13474,Z. Sanusi,CB,62,400000
13479,K. Dimitrov,CB,62,0
13483,V. Vevatne,CB,62,375000
13485,Julio Rodríguez,CB,62,375000
13486,Fran Serrano,CB,62,375000
13489,T. Denton,LB,62,375000
13492,A. Arnarson,RB,62,375000
13493,L. Desmond,CB,62,375000
13494,M. Maria,LB,62,375000
13498,A. Baker,RB,62,375000
13499,M. Seck,LB,62,375000
13502,Bueno,CB,62,375000
13505,A. Al Shammary,LB,62,375000
13507,L. Banks,LB,62,375000
13510,M. Degerlund,CB,62,400000
13511,B. Kyere,CB,62,375000
13513,S. Ntiya-Ntiya,LB,62,375000
13515,Zhang Yu,CB,62,375000
13520,M. Malec,CB,62,375000
13522,R. Polley,RB,62,375000
13530,J. Julio,CB,62,375000
13531,N. Havenaar,CB,62,375000
13535,R. Hall-Johnson,RB,62,375000
13537,Park Ji Soo,CB,62,375000
13539,H. White,RWB,62,375000
13542,H. Kyprianou,CB,62,375000
13543,C. Dummigan,RB,62,375000
13552,T. Dasquet,CB,62,375000
13555,K. Knoyle,RB,62,375000
13556,I. Diallo,CB,62,375000
13557,J. Maguire,LB,62,375000
13567,R. Crișan,CB,62,375000
13568,R. Kaib,LB,62,375000
13571,M. Troiani,LB,62,375000
13573,Liu Junshuai,CB,62,375000
13574,C. Kablan,LB,62,375000
13575,R. Çağıran,LB,62,375000
13584,A. Rossipal,LB,62,375000
13586,Y. Koike,LB,62,375000
13588,S. Dieckmann,LB,62,375000
13590,A. Frías,CB,62,375000
13591,V. Mora,LB,62,350000
13595,S. Kelly,LB,62,350000
13597,S. Facey,RB,62,350000
13599,P. Stępiński,LB,62,350000
13602,H. Gjesdal,CB,62,350000
13603,J. Jesgarzewski,RB,62,350000
13604,A. Boniotti,RB,62,350000
13607,G. Jones,RWB,62,350000
13609,A. Al Ammar,LB,62,350000
13611,T. Hudson-Wihongi,CB,62,375000
13612,A. Fallatah,CB,62,350000
13618,N. Roa,RB,62,350000
13619,Kim Dong Min,LB,62,350000
13620,M. Bauer,RB,62,350000
13633,M. Gottschling,RB,62,350000
13636,K. Kennedy,CB,62,350000
13638,G. Andonian,CB,62,350000
13639,D. Conroy,CB,62,350000
13641,O. Threlkeld,RB,62,350000
13644,L. Jackson,CB,62,350000
13645,J. McGing,RB,62,350000
13647,Park Jeong Su,CB,62,350000
13656,D. Graur,RB,62,350000
13657,L. Öhman,CB,62,325000
13658,H. Davis,CB,62,325000
13662,C. Bolger,CB,62,325000
13666,S. Lang,LB,62,325000
13674,J. Cranston,LB,62,325000
13677,M. Larenas,LB,62,325000
13679,M. Koj,LB,62,325000
13681,C. Johansson,CB,62,350000
13683,Zheng Kaimu,CB,62,325000
13685,N. Smith,CB,62,350000
13687,Zhang Xiaobin,CB,62,350000
13688,B. Richards-Everton,CB,62,325000
13691,Liao Junjian,RB,62,325000
13694,J. Albert,CB,62,325000
13695,D. Campos,RB,62,350000
13699,N. Fukumori,CB,62,325000
13700,F. Lasso,CB,62,325000
13703,A. Wiss,CB,62,300000
13704,B. Hamill,CB,62,325000
13705,J. Ericsson,LB,62,325000
13707,C. Good,CB,62,325000
13711,S. Sama,CB,62,325000
13712,Z. Francis-Angol,LB,62,325000
13719,T. Doyle,CB,62,325000
13720,S. Ring,LB,62,325000
13722,H. Futami,CB,62,325000
13723,Lee Min Gi,LB,62,325000
13724,E. Guerrero,CB,62,300000
13726,N. Boxall,CB,62,0
13727,T. Rotter,CB,62,325000
13728,M. Cikarski,LB,62,325000
13729,K. Kościelny,CB,62,325000
13733,L. Rath,LB,62,300000
13735,L. Hodson,RB,62,300000
13740,R. Lopes,CB,62,300000
13744,J. Guthrie,CB,62,325000
13747,M. Al Amri,LB,62,300000
13750,J. Clisby,LB,62,300000
13751,D. Valencia,CB,62,300000
13754,D. Poggenberg,LB,62,300000
13755,Kim Won Gun,CB,62,300000
13756,O. Muzayil,RWB,62,300000
13760,M. Perg,CB,62,300000
13761,E. Figueroa,CB,62,300000
13764,H. Abou Demba,RB,62,300000
13765,S. Gölles,RB,62,300000
13767,M. Bakhit,RB,62,300000
13771,S. Popovici,LB,62,300000
13777,Odei,CB,62,290000
13786,C. Woodman,LB,62,60000
13791,M. McChrystal,CB,62,90000
13792,B. Rotenberg,RB,62,140000
13794,C. Stefańczyk,RB,62,90000
13796,G. MacKenzie,CB,62,140000
13797,Liu Jian,CB,62,110000
13799,S. Wiseman,RWB,62,140000
13800,J. Hoyte,RB,62,110000
13803,S. Strømnes,CB,62,190000
13811,P. Kristensen,RB,62,190000
13814,T. Joza,CB,62,190000
13815,E. Nouri,RWB,62,140000
13817,A. Marciniak,LB,62,240000
13818,A. Danch,CB,62,230000
13819,Cao Yang,CB,62,60000
13820,Yang Shanping,CB,62,230000
13822,C. Daniel,LB,62,220000
13827,O. Lancashire,CB,62,250000
13831,I. Bermingham,LWB,62,240000
13836,B. Shea,LB,62,250000
13842,F. Hart,RB,62,250000
13844,L. Young,RWB,62,250000
13847,M. Solheim,LB,62,220000
13871,A. Struna,RB,62,0
13872,M. Sak,LB,62,250000
13876,V. Genev,CB,62,0
13877,N. Gotfredsen,RB,62,240000
13881,H. Al Shuwaysh,CB,62,250000
13883,N. Pond,CB,62,110000
13884,G. Warren,CB,62,110000
13885,W. Suwayyid,LB,62,220000
13887,M. Kühne,RB,62,220000
13891,F. Sepúlveda,RB,62,270000
13897,N. Correa,CB,62,90000
13898,L. Hogan,CB,62,250000
13900,A. Al Khaibari,CB,62,260000
13902,D. Fofana,CB,62,260000
13903,P. Karlsson,CB,62,250000
13904,Li Tixiang,CB,62,260000
13905,Jiang Zhe,RB,62,240000
13907,Zhang Chenglin,CB,62,190000
13909,T. Willers,CB,62,190000
13912,Yeo Seong Hae,CB,62,230000
13915,Luo Xin,CB,62,260000
13918,M. Vallecilla,LB,62,260000
13919,J. Manns,RB,62,290000
13920,J. Solberg,LB,62,240000
13921,C. Stokes,CB,62,270000
13924,Túlio Nevinha,CB,62,230000
13928,W. Hashimoto,LB,62,190000
13929,N. Ishikawa,LB,62,140000
13933,Y. Kobayashi,RB,62,140000
13938,Diego Ferraresso,RB,62,270000
13940,K. Fujimoto,CB,62,140000
13943,L. Leahy,LB,62,280000
13950,A. Benga,CB,62,250000
13953,F. Dady Ngoy,RB,62,250000
13958,S. Tka,CB,62,270000
13962,D. Tătar,LB,62,220000
13964,M. Uğurlu,LB,62,240000
13965,K. Velkov,CB,62,250000
13967,F. Achim,RB,62,270000
13970,A. Chakraborty,CB,62,0
13973,M. Kocić,LB,62,250000
13979,N. Wood,CB,61,525000
13982,J. Cabal,LB,61,525000
13983,L. Østigård,CB,61,500000
13984,A. Gallo,LB,61,500000
13992,R. Hutchinson,LB,61,500000
13993,A. Aidonis,CB,61,475000
13994,J. Araujo,RB,61,450000
13998,H. Souttar,CB,61,525000
14002,A. Amade,RWB,61,500000
14003,S. Palma,CB,61,500000
14004,I. Domínguez,LB,61,500000
14008,W. Singo,CB,61,475000
14009,J. Lotomba,LB,61,525000
14010,A. Paşcanu,CB,61,525000
14015,Diego Pampín,LB,61,500000
14022,O. Kossounou,CB,61,475000
14023,P. Maslov,RB,61,500000
14027,M. Sala,LB,61,525000
14034,D. Meredith,RB,61,500000
14037,L. Perrin,CB,61,525000
14038,A. Xhemajli,CB,61,525000
14040,N. Wiemann,CB,61,525000
14042,K. Ramsay,RB,61,475000
14046,F. Rodríguez,CB,61,500000
14050,Carreira,RB,61,475000
14055,K. Sibille,CB,61,525000
14057,T. McIntyre,CB,61,525000
14062,J. Beste,LB,61,525000
14065,J. Meier,LB,61,500000
14068,M. Aruga,LB,61,525000
14075,T. Grivosti,CB,61,525000
14078,G. Magnée,RB,61,500000
14081,K. da Graca,CB,61,450000
14087,J. Williams,RB,61,425000
14088,E. Orona,CB,61,450000
14092,G. Johnston,CB,61,450000
14093,N. Phillips,CB,61,450000
14099,T. Reithmeir,CB,61,425000
14100,J. Sánchez Purata,CB,61,450000
14103,H. Daza,LB,61,450000
14112,C. Harries,CB,61,425000
14116,C. Masterson,CB,61,425000
14124,N. Casale,CB,61,425000
14126,K. Lara,LB,61,400000
14127,P. Wiśniewski,CB,61,425000
14132,D. Rosales,RB,61,400000
14135,S. Abdulhamid,RB,61,400000
14138,�. Vlădoiu,RB,61,400000
14141,J. Rumpf,CB,61,400000
14144,B. Vázquez,CB,61,425000
14145,M. Talabidi,CB,61,350000
14147,P. O'Connor,CB,61,400000
14149,A. Andrésson,CB,61,400000
14151,C. McCarthy,CB,61,400000
14152,E. Dahl Reitan,RB,61,400000
14154,M. Weymans,LWB,61,400000
14157,Huang Zhengyu,CB,61,400000
14158,I. Hemans,LB,61,400000
14159,C. Pring,LWB,61,400000
14161,K. Duncan,RB,61,400000
14162,D. Hume,LB,61,400000
14167,Y. Gómez,LB,61,400000
14170,I. Aaneba,RB,61,400000
14174,A. Aleo,LB,61,400000
14175,O. Mbaizo,RB,61,400000
14176,A. Gamboa,CB,61,400000
14177,Y. Al Bakr,RB,61,400000
14189,R. McKenzie,CB,61,375000
14190,J. Salas,RB,61,375000
14191,J. Bitter,RB,61,375000
14192,Eliseo Falcón,CB,61,375000
14201,Prendes,CB,61,375000
14206,R. Paparelli,CB,61,375000
14210,E. Díaz,CB,61,375000
14211,P. Tawiah,LB,61,375000
14218,Jota Gonçalves,CB,61,350000
14224,V. Moreno,CB,61,350000
14225,José León,CB,61,350000
14226,P. Ng,RB,61,350000
14228,J. Ramos,LB,61,350000
14229,M. Kelly,LB,61,350000
14240,Kaiser,CB,61,350000
14242,C. Wood,LB,61,350000
14243,L. Lemoine,CB,61,350000
14244,B. Koglin,CB,61,350000
14245,José Alonso,CB,61,350000
14248,D. Lippert,LB,61,350000
14249,T. Hara,RB,61,350000
14254,P. Harant,CB,61,350000
14256,M. Erlić,CB,61,350000
14260,Marcos Isla,CB,61,350000
14263,O. Erdogan,CB,61,350000
14266,M. Saglam,RB,61,350000
14272,D. Vitturini,RB,61,325000
14274,E. Haugan,CB,61,350000
14278,S. McMann,LWB,61,325000
14279,J. Robles,CB,61,325000
14280,J. Sterry,RB,61,325000
14283,F. Saavedra,LB,61,325000
14286,G. Morelli,RB,61,325000
14288,S. Fujitani,RB,61,325000
14290,D. Barbosa,RB,61,325000
14292,T. Jacobsen,LB,61,325000
14294,R. Strain,RB,61,325000
14300,S. Nealis,CB,61,325000
14302,C. Pepe,CB,61,325000
14305,S. Gassama,LB,61,325000
14307,B. Albayrak,CB,61,350000
14308,G. Ray,CB,61,325000
14313,F. Aliti,CB,61,325000
14315,W. Boyle,CB,61,325000
14317,J. McDonagh,RB,61,325000
14318,S. Sefil,CB,61,325000
14320,P. Kpozo,LB,61,325000
14323,K. O'Connor,LB,61,325000
14324,S. Alberto,CB,61,325000
14325,E. Dabo,CB,61,325000
14329,S. Cordero,LB,61,325000
14330,S. Johansen,CB,61,325000
14331,B. Gyamfi,RB,61,325000
14333,C. Bramall,LB,61,325000
14336,M. Al Baqawi,RB,61,325000
14338,F. Senninger,LB,61,325000
14340,M. Haarup,LB,61,325000
14342,F. Arbeláez,LB,61,325000
14343,J. Borgmann,CB,61,325000
14345,S. Perić,CB,61,325000
14349,A. Rwatubyaye,CB,61,325000
14350,E. Azemović,CB,61,325000
14352,Lucas Soares,RB,61,325000
14354,P. Mendy,LB,61,325000
14355,I. Furu,CB,61,300000
14356,L. López,CB,61,300000
14358,C. Norman,RB,61,300000
14359,B. Utvik,CB,61,300000
14360,W. Aimson,CB,61,300000
14364,T. Field,LWB,61,300000
14365,A. Kojić,RB,61,300000
14366,D. Trichard,LB,61,300000
14370,M. Lund,CB,61,300000
14372,J. Koutroumbis,RB,61,300000
14377,M. Lercher,LB,61,300000
14382,Iago Indias,CB,61,300000
14384,A. Răuță,CB,61,300000
14386,M. Rodin,CB,61,300000
14387,Paulinho,LWB,61,300000
14388,T. Garcia,RB,61,300000
14391,J. Björkman,CB,61,300000
14392,J. Chalmers,LB,61,290000
14393,K. Wright,LWB,61,300000
14394,S. Griffin,LB,61,300000
14395,J. Robinson,CB,61,300000
14400,C. Horgan,RB,61,300000
14403,F. Ghazi,LB,61,290000
14405,Jeong Dong Yun,RB,61,290000
14409,Park Jun Hyeong,CB,61,300000
14411,H. Paul,RB,61,290000
14412,G. Henriksson,CB,61,300000
14415,D. Carrasco,CB,61,300000
14416,M. Çelik,LB,61,300000
14417,T. Duponchelle,RB,61,300000
14425,S. Kavanagh,LB,61,290000
14427,Y. Takahashi,CB,61,290000
14428,D. Serna,LB,61,290000
14429,P. Da Silva,LWB,61,290000
14432,Kim Dong Jin,CB,61,290000
14436,K. Howkins,CB,61,290000
14438,R. Tongyik,CB,61,290000
14440,Ko Tae Won,CB,61,290000
14442,O. Hawsawi,CB,61,290000
14444,K. Anzai,RB,61,290000
14445,David Cardoso,CB,61,290000
14446,A. Jenssen,CB,61,290000
14447,C. Găină,CB,61,290000
14449,A. Tchang-Tchong,LB,61,290000
14450,D. Jarl,CB,61,270000
14453,G. Taft,CB,61,280000
14455,B. Nugent,CB,61,280000
14457,F. Flores,RB,61,280000
14461,R. Hunt,LB,61,280000
14464,Sergio,CB,61,270000
14465,Chen Hao,CB,61,280000
14466,Shan Pengfei,RB,61,270000
14469,T. Rieder,RB,61,280000
14470,N. Giraldo,LB,61,270000
14475,S. Keskin,LB,61,280000
14477,T. Iida,RB,61,280000
14486,A. Al Zubaidi,RB,61,270000
14488,J. Pearson,RB,61,270000
14489,B. Garmston,LB,61,270000
14491,Baek Dong Gyu,CB,61,250000
14497,Li Peng,CB,61,250000
14501,S. Al Qeshtah,CB,61,270000
14502,R. Tone,CB,61,260000
14505,M. O'Brien,CB,61,260000
14510,J. Tjørnelund,LB,61,250000
14512,H. Toivomäki,CB,61,250000
14514,F. Pinteaux,LB,61,250000
